id,description,expected_disposition,turns_json
scenario_1_home,Docs/Scenario.txt — home with safety netting,HOME_MANAGEMENT,"[""My 6-year-old has a fever, threw up once, and looks really wiped out."", ""Temp is 101.8. He's tired but answers me. No breathing issues. He's sipping water, not much though. He's been on medication for a recent ear infection."", ""He's on amoxicillin. Last dose was earlier tonight. Just vomited once. He peed earlier this evening.""]"
scenario_2_er,Docs/Scenario.txt — ER (adds explicit normal breathing for complete intake),ER_NOW,"[""My 6-year-old has a fever, threw up, and looks really wiped out. I'm worried."", ""Temp is 103.5. He's barely responding, just lying there. He doesn't want to drink. No trouble breathing. Also, there's been a stomach virus going around his school this week."", ""I don't think he's peed since this afternoon.""]"
urgent_repeated_vomit,Repeated vomiting + poor fluids → urgent (not home),URGENT_SAME_DAY,"[""5 year old fever and vomiting"", ""102.5 fever, breathing fine, answers questions, he keeps throwing up and won't drink much, he peed an hour ago"", ""he vomited 4 times in the last 2 hours and only sips""]"
scenario_4_medication,5-month-old: ibuprofen CPG age gate fires (under 6 months) — medication-conflict extended scenario,HOME_MANAGEMENT,"[""My 5-month-old baby has a temperature of 101.5 F. She is alert and answers me when I talk to her."", ""No breathing issues. She is sipping some formula."", ""She peed an hour ago.""]"
scenario_5_local_context,4-year-old: parent provides viral local context — captured but does NOT change disposition — local-context extended scenario,HOME_MANAGEMENT,"[""My 4-year-old has a fever of 102 F. I think it is just what is going around school."", ""She is alert and talks to me fine. No breathing issues. She is drinking some water."", ""She peed today.""]"
asthma_mild_home,4-year-old: mild asthma exacerbation (home management),HOME_MANAGEMENT,"[""My 4-year-old has a wheeze and mild cough. He can run around but is more tired than usual."", ""He has no fever. Oxygen is 97%. He's speaking in full sentences and breathing normally at rest. Just a little wheezy when he runs."", ""No retractions. He's alert and eating normally. Has a history of asthma with an albuterol inhaler at home.""]"
asthma_moderate_urgent,7-year-old: moderate asthma exacerbation (urgent care),URGENT_SAME_DAY,"[""My 7-year-old son is having trouble with his breathing. He's wheezing pretty bad and coughing a lot."", ""No fever. Oxygen is 93%. He's breathing hard with visible chest retractions. He can only say short phrases. He has asthma and has had this before."", ""I gave him his rescue inhaler 30 minutes ago but he's not much better. He's alert but seems tired.""]"
asthma_severe_er,5-year-old: severe asthma exacerbation (ER),ER_NOW,"[""My 5-year-old can barely talk and is breathing so hard. He's wheezing really bad and I'm scared."", ""No fever. Oxygen is 88% and not coming up with his rescue inhaler. He can only say single words. He has severe retractions and his breathing is very labored. He's had one intubation before."", ""He's alert but looks exhausted. His lips look a bit pale. I don't know if I should call 911.""]"
anaphylaxis_mild_home,3-year-old: mild allergic reaction (home management),HOME_MANAGEMENT,"[""My 3-year-old just ate peanuts for the first time and now has some itchy spots on his face and neck."", ""He's alert and happy. Breathing is normal. No swelling. Just little red bumps where he scratched. Temperature is normal."", ""No difficulty swallowing. He's still playful. The hives are getting less itchy already. No known peanut allergy history.""]"
anaphylaxis_urgent,6-year-old: allergic reaction with angioedema (urgent),URGENT_SAME_DAY,"[""My 6-year-old had shellfish at dinner and now her lips are swelling up and she's getting hives all over."", ""She says her tongue feels thick. She's alert and breathing OK but I can see swelling around her mouth and on her face. No stridor yet. She's breathing normally."", ""She's never had a shellfish allergy before. Temperature is normal. No wheezing. She's getting more hives on her chest.""]"
anaphylaxis_er,4-year-old: anaphylaxis (medical emergency),ER_NOW,"[""My 4-year-old just ate a bug and now he's having trouble breathing. He's wheezing and his face is really swollen."", ""He has hives all over his body. He says he feels dizzy. Oxygen is 92%. He's wheezing and has some stridor. His lips and tongue are very swollen. He's alert but seems confused."", ""He's breathing hard and doesn't look right. No known bee allergy. This is happening really fast.""]"
croup_mild_home,2-year-old: mild croup (home management),HOME_MANAGEMENT,"[""My 2-year-old has a barky cough that sounds like a seal. He's been sick for 2 days."", ""No fever or very low-grade. He has a barky cough and some mild stridor when he cries. He's playing between cough fits. Breathing is normal at rest with no retractions."", ""Oxygen is 96%. He's happy and alert. Eating and drinking normally. The cough is worse at night but he seems fine during the day.""]"
croup_moderate_urgent,18mo: moderate croup (urgent evaluation),URGENT_SAME_DAY,"[""My 18-month-old has had a barky cough for 2 days and now has a different sounding breathing."", ""Low-grade fever. He has stridor even at rest now. I can see his chest pulling in when he breathes. He seems tired and fussy. Oxygen is 94%."", ""He's still alert but quieter than usual. He's not eating much. The stridor is getting worse. He has croup and his sibling has it too.""]"
croup_severe_er,3-year-old: severe croup (medical emergency),ER_NOW,"[""My 3-year-old woke up with terrible barky cough and can barely breathe. He's very distressed and I'm really scared."", ""No high fever. But he has loud stridor even at rest. His chest and neck are pulling in with every breath. Oxygen is 89%. He's sitting still, not playing, just focused on breathing."", ""He looks very ill. He's only able to say one word at a time. His lips look pale. He has had croup before but never this bad. I'm calling 911.""]"
